generation,mean_fitness,max_fitness,min_fitness,std_fitness,in_stable_region,stable_fraction,best_kappa,best_phi,best_epsilon_star,best_mu,best_gamma,best_theta
31,1.7586534392317827,1.9390471243195175,-0.05301241853898299,0.35324468322669145,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
32,1.6211303359456297,1.9390471243195175,-6.525801924830712,0.9976096290876683,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
33,1.6316861252284405,1.9390471243195175,-5.156772844273762,1.0515572474919137,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
34,1.6736545155727471,1.9390471243195175,-1.1814276357552786,0.6100213589376693,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
35,1.6745511758671296,1.9390471243195175,-2.9769427128838446,0.7648327314318472,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
36,1.7720076795210202,1.9390471243195175,-0.6914007556078542,0.3861943771935728,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
37,1.7126645268968834,1.9390471243195175,-3.126221266819415,0.7957058969462099,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
38,1.6036624383111513,1.9390471243195175,-2.153436193472596,0.7926030470399513,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
39,1.692945967628208,1.9390471243195175,-0.9567609930761997,0.5265504198554273,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
40,1.5941257517489147,1.9390471243195175,-6.1473588840977875,1.0062212685942833,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
41,1.6925065133477326,1.9390471243195175,-1.607449202264023,0.6083034636755837,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
42,1.6952357986576063,1.9390471243195175,-1.8250830324456695,0.6023768019747298,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
43,1.5739919425227513,1.9390471243195175,-3.8009226884333827,0.9465942327931539,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
44,1.5842083166611183,1.9390471243195175,-2.592986194833197,0.7876383637918415,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
45,1.5004574752188473,1.9390471243195175,-7.479318146772321,1.3192635944876026,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
46,1.616231163726787,1.9390471243195175,-9.559447468520982,1.2827988421048075,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
47,1.6434420851305698,1.9390471243195175,-2.4560969137620567,0.6918493760674573,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
48,1.7082399125992267,1.9390471243195175,-3.2355416839867357,0.7167950651003377,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
49,1.6066492605845195,1.9390471243195175,-3.8909737286412676,0.9673394999434567,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
50,1.64187162115325,1.9390471243195175,-3.741890961730558,0.8100175058668906,0,0.0,0.05,0.99,0.17587279782786444,189.39969967785908,5.0,0.3366784658545991
